,Artist 1970,Artist 1971,Artist 1972,Artist 1973,Artist 1974,Artist 1975,Artist 1976,Artist 1977,Artist 1978,Artist 1979,Artist 1980,Artist 1981,Artist 1982,Artist 1983,Artist 1984,Artist 1985,Artist 1986,Artist 1987,Artist 1988,Artist 1989,Artist 1990,Artist 1991,Artist 1992,Artist 1993,Artist 1994,Artist 1995,Artist 1996,Artist 1997,Artist 1998,Artist 1999,Artist 2000,Artist 2001,Artist 2002,Artist 2003,Artist 2004,Artist 2005,Artist 2006,Artist 2007,Artist 2008,Artist 2009,Artist 2010,Artist 2011,Artist 2012,Artist 2013,Artist 2014,Artist 2015,Artist 2016,Artist 2017,Artist 2018,Artist 2019
10,Three Dog Night,James Taylor,Chi-Lites,Edgar Winter Group,Kool & The Gang,Bee Gees,Diana Ross,Leo Sayer,Frankie Valli,Bee Gees,Elton John,Juice Newton,Tommy Tutone,Donna Summer,Deniece Williams,REO Speedwagon,Atlantic Starr,Crowded House,George Michael,Debbie Gibson,Janet Jackson,Mary J. Blige,Mary J. Blige,Mary J. Blige,Mary J. Blige,Mary J. Blige,Mary J. Blige,Mary J. Blige,Mary J. Blige,Mary J. Blige,Mary J. Blige,Mary J. Blige,Mary J. Blige,Mary J. Blige,Mary J. Blige,Mary J. Blige,Mary J. Blige,Akon,Ray J & Yung Berg,Taylor Swift,B.o.B Featuring Bruno Mars,Rihanna,Flo Rida Featuring Sia,Bruno Mars,Pitbull Featuring Ke$ha,OMI,Sia Featuring Sean Paul,James Arthur,Drake,Panic! At The Disco
11,Ray Stevens,Jean Knight,Gallery,The Sweet,Maria Muldaur,Eagles,Seals & Crofts,Jimmy Buffett,Paul Davis,Dr. Hook,Christopher Cross,Blondie,Bertie Higgins,Sergio Mendes,Bruce Springsteen,Starship,Carl Anderson & Gloria Loring,Atlantic Starr,Terence Trent D'Arby,Gloria Estefan,Heart,"Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp",Avril Lavigne,Rihanna,T.I. Featuring Justin Timberlake,Enrique Iglesias Featuring Pitbull,Foster The People,Adele,The Lumineers,Bastille,The Weeknd,Lukas Graham,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",Juice WRLD,Ariana Grande
12,Bread,Lee Michaels,Chuck Berry,Stevie Wonder,The Stylistics,Minnie Riperton,Andrea True Connection,Electric Light Orchestra,John Travolta & Olivia Newton-John,David Naughton,Diana Ross,Ray Parker Jr. & Raydio,Melissa Manchester,Duran Duran,Cyndi Lauper,Huey Lewis & The News,Pet Shop Boys,Jody Watley,Gloria Estefan & Miami Sound Machine,Warrant,Maxi Priest,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,The Fray,Maroon 5,Coldplay,The Fray,Young Money Featuring Lloyd,Katy Perry,LMFAO,Rihanna Featuring Mikky Ekko,Taylor Swift,Ellie Goulding,Rihanna,Lil Uzi Vert,Post Malone,Lizzo
13,Vanity Fare,Joan Baez,Neil Young,Cher,Al Wilson,Carl Douglas,Queen,Pablo Cruise,Samantha Sang,The Pointer Sisters,Styx,Blondie,Foreigner,David Bowie,Duran Duran,Simple Minds,Billy Ocean,Tiffany,Cheap Trick,Milli Vanilli,Alannah Myles,Cassie,Cassie,Cassie,Cassie,Cassie,Cassie,Cassie,Cassie,Cassie,Cassie,Cassie,Cassie,Cassie,Cassie,Cassie,Cassie,Shop Boyz,Katy Perry,Kings Of Leon,Jason Derulo,Bruno Mars,fun.,Daft Punk Featuring Pharrell Williams,Nico & Vinz,Hozier,Flo Rida,Future,Bruno Mars & Cardi B,Sam Smith & Normani
14,Jackson 5,Marvin Gaye,The Stylistics,The Isley Brothers,David Essex,The Doobie Brothers,Dorothy Moore,Stevie Wonder,Eric Clapton,Bee Gees,Billy Preston & Syreeta,"Grover Washington, Jr. With Bill Withers",Rick Springfield,Golden Earring,Cyndi Lauper,Kool & The Gang,Simple Minds,Billy Idol,Billy Ocean,Roxette,Wilson Phillips,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,Akon Featuring Eminem,T.I.,Keri Hilson Featuring Kanye West & Ne-Yo,Rihanna,Enrique Iglesias Featuring Ludacris & DJ Frank E,Katy Perry,Lorde,DJ Snake & Lil Jon,Taylor Swift Featuring Kendrick Lamar,Mike Posner,French Montana Featuring Swae Lee,Ella Mai,Shawn Mendes & Camila Cabello
15,Jackson 5,Paul & Linda McCartney,The Staple Singers,Grand Funk Railroad,John Denver,Sweet,The Sylvers,Eagles,The Rolling Stones,Olivia Newton-John,The Manhattans,The Pointer Sisters,Juice Newton,Frida,The Pointer Sisters,John Parr,Heart,Billy Vera & The Beaters,Expose,Phil Collins,Linda Ronstadt (Featuring Aaron Neville),Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Mims,Rihanna,Jamie Foxx Featuring T-Pain,Lady Gaga Featuring Beyonce,P!nk,Flo Rida,Taylor Swift,Eminem Featuring Rihanna,Major Lazer & DJ Snake Featuring MO,Fifth Harmony Featuring Ty Dolla $ign,Bruno Mars,Dua Lipa,Ed Sheeran & Justin Bieber
16,Neil Diamond,Five Man Electrical Band,Michael Jackson,Dr. John,Blue Swede,B.J. Thomas,England Dan & John Ford Coley,Marvin Gaye,Billy Joel,Blondie,Commodores,Climax Blues Band,Willie Nelson,Eddy Grant,The Romantics,Glenn Frey,Prince And The Revolution,Chris de Burgh,Whitesnake,Milli Vanilli,Lisa Stansfield,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Daughtry,Rihanna,Pitbull,Katy Perry,Lady Gaga,Flo Rida,Miley Cyrus,A Great Big World & Christina Aguilera,Jason Derulo,Calvin Harris Featuring Rihanna,Zedd & Alessia Cara,XXXTENTACION,"benny blanco, Halsey & Khalid"
17,Dawn,Tom Jones,War,Skylark,Paul McCartney And Wings,Tony Orlando & Dawn,Nazareth,Bill Conti,Wings,The Doobie Brothers,Dr. Hook,John Lennon,The Cars,Thomas Dolby,Laura Branigan,USA For Africa,Steve Winwood,Whitney Houston,The Escape Club,Roxette,Calloway,Yung Joc,Yung Joc,Yung Joc,Yung Joc,Yung Joc,Yung Joc,Yung Joc,Yung Joc,Yung Joc,Yung Joc,Yung Joc,Yung Joc,Yung Joc,Yung Joc,Yung Joc,Yung Joc,Timbaland Featuring Keri Hilson,Natasha Bedingfield,T.I. Featuring Rihanna,Bruno Mars,P!nk,Maroon 5,Miley Cyrus,Lorde,Taylor Swift,DNCE,DJ Khaled Featuring Rihanna & Bryson Tiller,Camila Cabello,Meek Mill Featuring Drake
18,Norman Greenbaum,Jerry Reed,America,Stevie Wonder,Charlie Rich,Janis Ian,Silver Convention,Glen Campbell,Yvonne Elliman,Chic,Robbie Dupree,A Taste Of Honey,Dazz Band,Toto,Prince And The Revolution,Tears For Fears,Huey Lewis & The News,U2,Def Leppard,Bon Jovi,Johnny Gill,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Rihanna,Fergie,Chris Brown Featuring T-Pain,Soulja Boy Tell 'em Featuring Sammie,Mike Posner,Rihanna Featuring Drake,Train,Avicii,Passenger,Skrillex & Diplo With Justin Bieber,G-Eazy x Bebe Rexha,Rae Sremmurd Featuring Gucci Mane,Khalid & Normani,Lady Gaga & Bradley Cooper
19,Melanie with The Edwin Hawkins Singers,Carpenters,Neil Diamond,Maureen McGovern,Jim Croce,Average White Band,Eagles,Leo Sayer,Chic,Barbra Streisand & Neil Diamond,Ambrosia,ABBA,Go-Go's,Prince,Thompson Twins,Stevie Wonder,Simply Red,Duran Duran,Taylor Dayne,Simply Red,Glenn Medeiros Featuring Bobby Brown,Panic! At The Disco,Panic! At The Disco,Panic! At The Disco,Panic! At The Disco,Panic! At The Disco,Panic! At The Disco,Panic! At The Disco,Panic! At The Disco,Panic! At The Disco,Panic! At The Disco,Panic! At The Disco,Panic! At The Disco,Panic! At The Disco,Panic! At The Disco,Panic! At The Disco,Panic! At The Disco,Soulja Boy Tell'em,Ne-Yo,Jay Sean Featuring Lil Wayne,The Black Eyed Peas,Chris Brown Featuring Lil Wayne & Busta Rhymes,Drake Featuring Lil Wayne,Justin Timberlake Featuring JAY Z,Lorde,Rachel Platten,twenty one pilots,The Weeknd Featuring Daft Punk,Ariana Grande,Khalid
