,Title,Artist,Energy,Tempo,Danceability,Instrumentalness,Valence
132,Jumpin' Jack Flash,The Rolling Stones,0.909,137.335,0.575,0.238,0.693
133,Drive,The Cars,0.606,111.441,0.582,0.00139,0.504
134,"Monday, Monday - Single Version",The Mamas & The Papas,0.467,110.553,0.493,0.0,0.731
135,Don't Be Cruel,Elvis Presley,0.675,84.967,0.68,0.0,0.805
136,Without You,Harry Nilsson,0.212,65.311,0.441,5.52e-06,0.124
137,Heaven,Bryan Adams,0.572,69.83,0.269,1.3e-06,0.364
138,Tainted Love,Soft Cell,0.535,144.635,0.556,0.0,0.687
139,Tutti Frutti,Little Richard,0.548,184.795,0.499,0.0,0.964
140,The Girl From Ipanema,Stan Getz,0.149,130.359,0.653,0.000983,0.481
141,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,0.812,108.352,0.825,4.58e-05,0.847
142,Love Hurts - Single Edit,Nazareth,0.491,79.954,0.442,0.00491,0.125
143,I'm Not In Love,10cc,0.523,133.738,0.404,0.000498,0.164
144,Enter Sandman,Metallica,0.828,123.257,0.577,0.0114,0.604
145,Song Sung Blue - Single Version,Neil Diamond,0.327,108.913,0.556,1.32e-05,0.327
146,(What A) Wonderful World - Remastered,Sam Cooke,0.543,128.091,0.524,0.0,0.877
147,Paradise City,Guns N' Roses,0.952,100.271,0.273,0.0111,0.472
148,Lovely Day,Bill Withers,0.651,97.918,0.69,0.00241,0.706
149,I Want to Know What Love Is - 1999 Remaster,Foreigner,0.471,81.204,0.477,1.76e-06,0.423
150,Penny Lane - Remastered,The Beatles,0.488,113.038,0.651,0.026,0.49
151,Wouldn't It Be Nice - Stereo Mix,The Beach Boys,0.629,124.511,0.392,3.76e-06,0.72
152,Raindrops Keep Fallin' On My Head,B.J. Thomas,0.446,104.962,0.519,0.000124,0.654
153,Time After Time,Cyndi Lauper,0.449,130.388,0.726,1.34e-06,0.294
154,Mustang Sally,Wilson Pickett,0.327,110.438,0.725,0.326,0.688
155,Our House,Madness,0.715,120.999,0.589,0.00105,0.806
156,How Deep Is Your Love,Bee Gees,0.23,104.974,0.613,0.0,0.672
157,Umbrella,Rihanna,0.829,174.028,0.583,0.0,0.575
158,Crazy,Gnarls Barkley,0.587,111.97,0.855,0.00714,0.64
159,Have I Told You Lately,Van Morrison,0.477,143.78,0.344,0.0128,0.182
160,Song 2 - 2012 Remaster,Blur,0.789,129.804,0.674,0.0071,0.918
161,Maggie May,Rod Stewart,0.646,129.388,0.588,0.0955,0.649
162,Lean on Me,Bill Withers,0.22,75.16,0.619,1.19e-05,0.423
163,"Take My Breath Away - Love Theme from ""Top Gun""",Berlin,0.719,95.769,0.497,0.0,0.547
164,Somebody to Love,Jefferson Airplane,0.578,132.411,0.504,0.0,0.654
165,Good Vibrations - Remastered,The Beach Boys,0.473,133.449,0.396,0.000124,0.385
166,Back for Good - Radio Mix,Take That,0.504,78.961,0.6,0.0,0.547
167,Africa,TOTO,0.373,92.718,0.671,8.01e-05,0.732
168,Unbelievable,EMF,0.849,104.074,0.637,0.0386,0.936
169,Runaway Train,Soul Asylum,0.72,117.341,0.613,0.0,0.561
170,Nutbush City Limits,Ike & Tina Turner,0.961,76.525,0.693,0.0538,0.897
171,I Wanna Be Sedated - 2002 Remaster,Ramones,0.96,163.017,0.597,2.89e-05,0.937
172,Start Me Up - 2009 Re-Mastered Digital Version,The Rolling Stones,0.932,122.429,0.631,0.137,0.971
173,November Rain,Guns N' Roses,0.629,79.495,0.197,0.279,0.221
174,Fly Me To The Moon,Frank Sinatra,0.365,119.342,0.67,0.0,0.45
175,I Got You Babe,Sonny & Cher,0.795,110.583,0.629,5.44e-06,0.6
176,You Needed Me,Anne Murray,0.296,62.204,0.497,0.0,0.171
177,Do You Really Want To Hurt Me,Culture Club,0.376,100.78,0.744,0.0,0.42
178,Thriller,Michael Jackson,0.687,118.392,0.771,0.000225,0.783
179,Spirit In The Sky,Norman Greenbaum,0.606,128.73,0.537,0.00559,0.582
180,Wind Of Change,Scorpions,0.543,151.362,0.453,0.0,0.282
181,Just the Way You Are,Billy Joel,0.453,139.148,0.589,2.54e-05,0.513
182,Eve Of Destruction,Barry McGuire,0.307,117.305,0.613,4.52e-06,0.789
183,Summer in the City - Remastered,The Lovin' Spoonful,0.681,110.461,0.423,0.000177,0.559
184,Mysterious Ways,U2,0.664,99.794,0.675,0.0126,0.668
185,The Great Pretender,The Platters,0.382,77.466,0.537,0.0,0.543
186,Sweet Caroline - Single Version,Neil Diamond,0.255,127.368,0.549,2.17e-05,0.638
187,I Feel Love,Donna Summer,0.711,126.696,0.674,0.691,0.961
188,Barcelona - Single Version - 2011 Remaster,Freddie Mercury,0.506,106.363,0.249,0.000253,0.121
189,Sympathy For The Devil,The Rolling Stones,0.673,114.385,0.566,1.13e-06,0.583
190,The Model - 2009 Remaster,Kraftwerk,0.683,123.602,0.708,0.643,0.463
191,Fix You,Coldplay,0.417,138.178,0.209,0.00196,0.124
192,"Sugar, Sugar",The Archies,0.871,122.395,0.736,0.0,0.967
193,Sweet Child O' Mine,Guns N' Roses,0.91,125.116,0.454,0.0996,0.629
194,Annie's Song,John Denver,0.308,147.117,0.325,0.00603,0.447
195,Yesterday - Remastered,The Beatles,0.179,96.529,0.332,0.0,0.315
196,Alone Again Or - 2015 Remaster,Love,0.303,174.254,0.318,0.000223,0.226
197,Zombie,The Cranberries,0.635,166.978,0.307,0.00486,0.305
198,The Sound of Silence,Simon & Garfunkel,0.456,107.529,0.435,1.62e-06,0.529
199,Bitter Sweet Symphony,The Verve,0.911,171.112,0.362,0.0,0.498
200,Hallelujah,Jeff Buckley,0.136,97.256,0.324,0.00117,0.0831
201,Seven Nation Army,The White Stripes,0.466,123.889,0.745,0.35,0.303
202,"Non, je ne regrette rien",Édith Piaf,0.354,87.018,0.382,3.11e-06,0.435
203,With Or Without You - Remastered,U2,0.432,110.181,0.538,0.309,0.116
204,Blowin' in the Wind,Bob Dylan,0.0993,174.874,0.38,2.32e-05,0.44
205,All I Have to Do Is Dream,The Everly Brothers,0.462,96.195,0.534,0.0,0.534
206,"If You Leave - From ""Pretty In Pink""",Orchestral Manoeuvres In The Dark,0.757,120.256,0.636,0.122,0.91
207,I Say a Little Prayer,Dionne Warwick,0.415,147.2,0.512,0.0,0.714
208,"Lay, Lady, Lay",Bob Dylan,0.179,155.746,0.52,0.00344,0.407
209,Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",0.488,95.771,0.803,0.0609,0.624
210,The Night They Drove Old Dixie Down - Remastered 2000,The Band,0.493,127.671,0.507,0.0,0.467
211,River Deep - Mountain High,Ike & Tina Turner,0.641,83.901,0.324,8.47e-05,0.308
212,Strangers In The Night,Frank Sinatra,0.482,90.602,0.272,0.0,0.565
213,You're so Vain,Carly Simon,0.678,106.186,0.659,6.69e-06,0.647
214,Hound Dog,Elvis Presley,0.884,177.751,0.343,0.000673,0.94
215,Papa Was A Rollin' Stone,The Temptations,0.366,120.545,0.744,0.0185,0.829
216,Sweet Home Alabama,Lynyrd Skynyrd,0.605,97.782,0.597,0.000331,0.886
217,That'll Be The Day,Buddy Holly,0.528,126.707,0.651,0.0,0.873
218,Ebony And Ivory - Remixed 2015,Paul McCartney,0.691,160.688,0.564,0.0,0.73
219,Wake Me up When September Ends,Green Day,0.814,104.98,0.546,0.0,0.146
220,Only You (And You Alone),The Platters,0.321,80.861,0.401,0.0,0.285
221,Rock And Roll Music,Chuck Berry,0.629,165.823,0.506,4.5e-05,0.846
222,Something - Remastered,The Beatles,0.338,133.522,0.396,2.62e-06,0.377
223,Me and Bobby McGee,Janis Joplin,0.464,93.19,0.453,5.96e-05,0.658
224,Gimme Some Lovin' - Single Mix,The Spencer Davis Group,0.688,147.403,0.493,0.256,0.533
225,As Time Goes By,Dooley Wilson,0.24,78.056,0.427,1.55e-05,0.305
226,Who'll Stop The Rain,Creedence Clearwater Revival,0.797,123.566,0.598,0.000407,0.622
227,Everybody Wants To Rule The World,Tears For Fears,0.811,112.053,0.637,0.00451,0.552
228,The Wanderer,Dion,0.544,115.779,0.605,0.00579,0.797
229,The Joker,Steve Miller Band,0.448,83.293,0.596,5.3e-06,0.796
230,Just My Imagination (Running Away With Me),The Temptations,0.242,92.472,0.425,0.0118,0.477
231,Singing In The Rain,Gene Kelly,0.282,132.824,0.384,3.13e-05,0.417
232,Samba Pa Ti,Santana,0.358,92.292,0.407,0.424,0.267
233,It's My Party,Lesley Gore,0.493,128.407,0.687,0.0,0.93
234,You Don't Have To Say You Love Me,Dusty Springfield,0.655,111.965,0.243,1.28e-06,0.575
235,Don't You (Forget About Me),Simple Minds,0.629,111.29,0.663,0.0394,0.648
236,Dancing In The Street - Single Version,Martha Reeves & The Vandellas,0.883,126.203,0.561,0.0305,0.749
237,Sultans Of Swing,Dire Straits,0.797,148.192,0.731,0.0248,0.933
238,Will You Love Me Tomorrow,The Shirelles,0.384,137.047,0.49,3.17e-05,0.47
239,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,0.394,104.126,0.694,0.000677,0.719
240,Won't Get Fooled Again - Original Album Version,The Who,0.92,135.027,0.686,0.27,0.225
241,Smile,Nat King Cole,0.244,85.499,0.185,1.11e-05,0.232
242,Walk Away Renee,The Left Banke,0.436,118.314,0.474,0.0,0.588
243,You've Got a Friend,James Taylor,0.282,91.681,0.695,0.0267,0.445
244,I Fought the Law - Single Version,The Bobby Fuller Four,0.804,148.959,0.593,2.22e-06,0.962
245,I Put a Spell On You,Screamin' Jay Hawkins,0.399,173.781,0.733,0.0254,0.9
246,Eleanor Rigby - Remastered,The Beatles,0.28,137.831,0.581,1.56e-05,0.813
247,Son Of A Preacher Man,Dusty Springfield,0.477,91.039,0.475,0.0,0.735
248,The Twist,Chubby Checker,0.638,156.663,0.533,0.0,0.937
249,Wild Thing,The Troggs,0.664,201.583,0.421,0.00244,0.574
250,Ne me quitte pas,Jacques Brel,0.24,98.009,0.43,0.00616,0.367
251,Massachusetts - Stereo Version,Bee Gees,0.573,102.122,0.483,3.14e-05,0.506
252,Brown Sugar,The Rolling Stones,0.934,128.606,0.633,0.00021,0.963
253,(I Left My Heart) In San Francisco,Tony Bennett,0.078,128.065,0.313,4.48e-06,0.125
254,Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,0.532,136.571,0.601,6.25e-06,0.341
255,My Guy,Mary Wells,0.576,126.454,0.697,4.96e-05,0.927
256,Are You Lonesome Tonight? - Remastered,Elvis Presley,0.201,129.689,0.421,0.000436,0.188
257,Tennessee Waltz,Patti Page,0.163,86.335,0.424,0.000671,0.294
258,White Rabbit,Jefferson Airplane,0.293,106.798,0.551,0.000273,0.322
259,Rapper's Delight - Single Version,The Sugarhill Gang,0.692,111.782,0.917,1.09e-05,0.819
260,Your Cheatin' Heart - Single Version,Hank Williams,0.145,128.087,0.671,2.1e-06,0.62
261,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,0.781,108.695,0.7,0.00342,0.385
262,The Boys Are Back In Town,Thin Lizzy,0.712,78.114,0.319,0.000414,0.773
263,"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,0.349,124.984,0.438,5.7e-05,0.683
264,Sweet Little Sixteen,Chuck Berry,0.635,175.338,0.507,0.0,0.962
265,Ain't No Mountain High Enough,Marvin Gaye,0.616,130.037,0.669,0.0,0.818
266,What The World Needs Now Is Love - Single Version,Jackie DeShannon,0.412,106.917,0.42,0.0,0.498
267,Try a Little Tenderness,Otis Redding,0.133,102.938,0.587,2.26e-05,0.068
268,Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,0.818,124.474,0.452,2.72e-05,0.755
269,Enjoy the Silence,Depeche Mode,0.593,113.007,0.382,0.0169,0.224
270,That's Amore,Dean Martin,0.17,124.047,0.407,0.0,0.577
271,Bye Bye Love,The Everly Brothers,0.523,169.598,0.547,0.0,0.89
272,Fields Of Gold,Sting,0.339,103.996,0.651,0.0141,0.32
273,Runaway,Del Shannon,0.609,151.387,0.506,0.0,0.769
274,Venus,Shocking Blue,0.762,128.111,0.691,0.0286,0.957
275,Whiskey In The Jar,Thin Lizzy,0.918,127.728,0.552,0.00531,0.707
276,Paint It Black,The Rolling Stones,0.845,159.508,0.504,0.0419,0.736
277,Woman,John Lennon,0.656,79.701,0.588,0.00227,0.746
278,My Boy Lollipop,Millie Small,0.561,132.416,0.672,0.0369,0.891
279,Tell It Like It Is,Aaron Neville,0.376,93.706,0.61,2.18e-06,0.565
280,All Day and All of the Night,The Kinks,0.915,136.345,0.563,8.46e-05,0.71
281,Save the Last Dance for Me,The Drifters,0.53,143.453,0.54,0.0,0.896
282,Black Hole Sun,Soundgarden,0.822,105.503,0.351,0.000117,0.158
283,(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,0.69,94.574,0.631,0.0,0.938
284,In My Life - Remastered,The Beatles,0.435,103.239,0.688,0.0,0.435
285,Many Rivers To Cross,Jimmy Cliff,0.278,137.468,0.406,0.0132,0.147
286,Stranger On The Shore,Acker Bilk,0.411,104.814,0.334,0.606,0.256
287,Fast Car,Tracy Chapman,0.292,103.951,0.711,0.0,0.194
288,Le Freak,CHIC,0.746,118.616,0.867,0.0,0.933
289,The Tracks Of My Tears,Smokey Robinson & The Miracles,0.334,96.322,0.488,0.0,0.685
290,She Loves You - Mono / Remastered,The Beatles,0.895,150.109,0.308,0.0,0.902
291,Only Sixteen,Sam Cooke,0.391,112.283,0.737,0.0,0.83
292,Stuck On You,Elvis Presley,0.679,131.714,0.649,0.000615,0.96
293,Milord,Édith Piaf,0.388,106.501,0.51,0.0,0.56
294,A Horse with No Name,America,0.506,123.179,0.654,0.0155,0.831
295,Walk This Way (feat. Aerosmith),Run–D.M.C.,0.578,105.598,0.759,8.18e-05,0.944
296,Blueberry Hill - Remastered 2002,Fats Domino,0.506,136.662,0.479,2.69e-05,0.83
297,The Long And Winding Road - Remastered,The Beatles,0.329,132.282,0.299,0.0105,0.392
298,Superstition,Stevie Wonder,0.657,100.607,0.609,0.00221,0.872
299,Vincent,Don McLean,0.085,91.509,0.419,5.33e-06,0.458
300,Georgia on My Mind,Ray Charles,0.316,130.939,0.288,0.0,0.201
301,Be-Bop-A-Lula,Gene Vincent & His Blue Caps,0.561,127.638,0.607,0.0,0.841
302,Everlasting Love,Love Affair,0.569,120.531,0.497,0.0,0.811
303,ABC,The Jackson 5,0.786,188.115,0.572,0.00093,0.952
304,In the Midnight Hour - 2006 Remaster; Single Version,Wilson Pickett,0.641,111.849,0.694,0.0,0.869
305,Wake up Little Susie,The Everly Brothers,0.62,93.723,0.709,0.0,0.936
306,Con Te Partirò,Andrea Bocelli,0.364,100.535,0.249,0.00186,0.247
307,You Are The Sunshine Of My Life,Stevie Wonder,0.531,132.175,0.524,2.51e-05,0.683
308,Mamma Mia,ABBA,0.771,137.543,0.748,0.000333,0.782
309,Blue Suede Shoes - Rerecorded,Carl Perkins,0.552,164.873,0.461,0.0141,0.934
310,Jolene,Dolly Parton,0.537,110.578,0.674,0.0,0.809
311,Volare (Nel blu dipinto di blu),Domenico Modugno,0.237,128.467,0.5,0.000207,0.589
312,I Only Want To Be With You - Mono,Dusty Springfield,0.759,132.913,0.585,0.0,0.945
313,Dream A Little Dream Of Me,Cass Elliot,0.427,134.586,0.413,0.0,0.306
314,One Fine Day,The Chiffons,0.552,89.574,0.486,1.54e-06,0.896
315,Ruby Tuesday - Stereo Version,The Rolling Stones,0.543,104.528,0.518,0.0,0.579
316,Stand By Your Man,Tammy Wynette,0.331,105.761,0.563,0.000846,0.608
317,Pata pata,Miriam Makeba,0.806,125.495,0.742,0.0,0.94
318,Albatross,Fleetwood Mac,0.0794,203.891,0.235,0.885,0.295
319,Mannish Boy,Muddy Waters,0.421,109.798,0.636,0.0,0.498
320,Everyday Is Like Sunday - 2011 Remaster,Morrissey,0.869,117.064,0.6,0.441,0.56
321,You Are So Beautiful,Joe Cocker,0.11,121.88,0.388,0.00207,0.106
322,Spinning Wheel - Single Version,"Blood, Sweat & Tears",0.495,95.693,0.714,1.52e-05,0.599
323,Personal Jesus,Depeche Mode,0.729,130.041,0.683,0.163,0.359
324,I Can See Clearly Now,Johnny Nash,0.468,124.227,0.658,8.68e-05,0.684
325,Smoke Gets In Your Eyes,The Platters,0.227,114.278,0.29,7.95e-05,0.224
