,Title,Artist,Energy,Tempo,Danceability,Instrumentalness,Valence,Cluster
89,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,0.442,118.36200000000001,0.474,0.000212,0.773,7
90,Live And Let Die,Paul McCartney,0.599,153.028,0.35600000000000004,0.000573,0.21600000000000003,5
91,I Walk the Line,Johnny Cash,0.484,105.834,0.862,0.0009960000000000001,0.787,0
92,La Vie en rose,Édith Piaf,0.278,82.331,0.371,0.0,0.33799999999999997,3
93,American Pie,Don McLean,0.48100000000000004,138.45,0.531,0.0,0.491,1
94,Can't Help Falling in Love,Elvis Presley,0.293,100.307,0.396,0.000196,0.34299999999999997,3
95,Happy Together,The Turtles,0.36700000000000005,120.175,0.584,1.3800000000000002e-05,0.588,0
96,Hey Jude - Remastered 2015,The Beatles,0.607,147.207,0.386,1.3800000000000002e-05,0.532,5
97,My Way,Frank Sinatra,0.45399999999999996,150.661,0.27899999999999997,0.0,0.21600000000000003,5
98,Over The Rainbow,Judy Garland,0.157,75.256,0.19699999999999998,0.000183,0.28800000000000003,3
99,Make Me Smile (Come up and See Me) - 2014 Remaster,Steve Harley,0.818,141.463,0.5710000000000001,0.000177,0.773,6
100,When a Man Loves a Woman,Percy Sledge,0.15,97.398,0.516,0.0755,0.20600000000000002,3
101,Bright Eyes,Art Garfunkel,0.21,112.51,0.38,0.45,0.207,4
102,Goodbye Yellow Brick Road - Remastered 2014,Elton John,0.48200000000000004,121.666,0.5720000000000001,0.00255,0.38299999999999995,1
103,Behind Blue Eyes,The Who,0.53,128.556,0.41,2.36e-05,0.263,5
104,Don't Look Back in Anger,Oasis,0.9129999999999999,164.005,0.349,8.06e-06,0.225,1
105,Hey Joe,Jimi Hendrix,0.768,169.49200000000002,0.34600000000000003,0.38,0.532,4
106,Vienna - 2008 Remaster,Ultravox,0.583,80.132,0.605,0.188,0.33399999999999996,3
107,We Are The Champions - Remastered 2011,Queen,0.45899999999999996,64.17699999999999,0.268,0.0,0.175,3
108,San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,Scott McKenzie,0.52,112.554,0.525,0.00569,0.523,1
109,Jailhouse Rock,Elvis Presley,0.672,166.903,0.635,5.03e-06,0.895,2
110,West End Girls - 2001 Remaster,Pet Shop Boys,0.9490000000000001,113.257,0.6509999999999999,0.125,0.61,6
111,Have You Ever Seen The Rain,Creedence Clearwater Revival,0.6970000000000001,116.109,0.741,2.2800000000000002e-05,0.774,6
112,Peggy Sue - Single Version,Buddy Holly,0.424,148.373,0.6759999999999999,0.0004940000000000001,0.493,0
113,Born in the U.S.A.,Bruce Springsteen,0.9520000000000001,122.09299999999999,0.39799999999999996,7.75e-05,0.584,7
114,The Logical Song - Remastered 2010,Supertramp,0.758,119.719,0.625,0.00022,0.695,6
115,Heart Of Glass [24-Bit Digitally Remastered 01] - Remastered 2001,Blondie,0.633,115.007,0.662,0.0233,0.657,6
116,C'mon Everybody,Eddie Cochran,0.645,175.84,0.622,0.00011599999999999999,0.863,2
117,Let's Stay Together,Al Green,0.397,101.985,0.7559999999999999,0.0115,0.507,0
118,Respect,Aretha Franklin,0.5579999999999999,114.95,0.805,2.2e-05,0.965,6
119,Blue Monday - 2016 Remaster,New Order,0.703,130.27,0.7929999999999999,0.88,0.856,4
120,(Sittin' On) the Dock of the Bay,Otis Redding,0.36700000000000005,103.62100000000001,0.769,1.62e-05,0.535,0
121,Ain't No Sunshine,Bill Withers,0.41600000000000004,79.593,0.479,1.7199999999999998e-05,0.514,3
122,Go Your Own Way - 2004 Remaster,Fleetwood Mac,0.9470000000000001,135.44799999999998,0.583,0.00109,0.8029999999999999,6
123,Welcome To The Jungle,Guns N' Roses,0.9540000000000001,123.45299999999999,0.447,0.40299999999999997,0.331,4
124,Come Together - Remastered,The Beatles,0.376,165.007,0.5329999999999999,0.248,0.187,5
125,Whole Lot of Shakin' Going On,Jerry Lee Lewis,0.626,161.468,0.377,6.459999999999998e-05,0.6779999999999999,2
126,La Bamba - Single Version,Ritchie Valens,0.809,75.09899999999999,0.516,0.000331,0.9390000000000001,7
127,All By Myself - Single Edit,Eric Carmen,0.39799999999999996,115.962,0.442,0.763,0.17800000000000002,4
128,Easy,Commodores,0.384,132.909,0.589,2.8000000000000003e-05,0.354,5
129,Seasons in the Sun,Terry Jacks,0.42700000000000005,99.167,0.623,0.0,0.899,0
130,Downtown,Petula Clark,0.589,117.699,0.48100000000000004,0.0,0.6659999999999999,7
