,'70s,'80s,'90s,'00s,'10s
96,Song,Song,Song,Gorillaz,Uncle Kracker
97,Song,Song,Song,T-Pain,Cali Swag District
98,Song,Song,Song,Taylor Hicks,Alicia Keys
99,Song,Song,Song,Teddy Geiger,Jerrod Niemann
100,Three Dog Night,Kim Carnes,Daniel Powter,Daniel Powter,Adele
101,Rod Stewart,Kenny Rogers,Sean Paul,Sean Paul,LMFAO Featuring Lauren Bennett & GoonRock
102,Carole King,John Lennon,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Katy Perry
103,Bee Gees,Rick Springfield,James Blunt,James Blunt,Katy Perry Featuring Kanye West
104,Donny Osmond,Kool & The Gang,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
105,The Temptations,Eddie Rabbitt,Natasha Bedingfield,Natasha Bedingfield,Bruno Mars
106,Al Green,Dolly Parton,Gnarls Barkley,Gnarls Barkley,Nicki Minaj
107,The Honey Cone,REO Speedwagon,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Maroon 5 Featuring Christina Aguilera
108,Cornelius Brothers & Sister Rose,Sheena Easton,Justin Timberlake,Justin Timberlake,The Black Eyed Peas
109,The Rolling Stones,Smokey Robinson,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,Jennifer Lopez Featuring Pitbull
110,James Taylor,Juice Newton,Mary J. Blige,Mary J. Blige,Rihanna
111,Jean Knight,Blondie,"Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp",Foster The People
112,Lee Michaels,Ray Parker Jr. & Raydio,The Fray,The Fray,Katy Perry
113,Joan Baez,Blondie,Cassie,Cassie,Bruno Mars
114,Marvin Gaye,"Grover Washington, Jr. With Bill Withers",The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,Enrique Iglesias Featuring Ludacris & DJ Frank E
115,Paul & Linda McCartney,The Pointer Sisters,Chris Brown,Chris Brown,P!nk
116,Five Man Electrical Band,Climax Blues Band,Ne-Yo,Ne-Yo,Lady Gaga
117,Tom Jones,John Lennon,Yung Joc,Yung Joc,P!nk
118,Jerry Reed,A Taste Of Honey,Rihanna,Rihanna,Rihanna Featuring Drake
119,Carpenters,ABBA,Panic! At The Disco,Panic! At The Disco,Chris Brown Featuring Lil Wayne & Busta Rhymes
120,George Harrison,Stars On 45,The All-American Rejects,The All-American Rejects,Jeremih Featuring 50 Cent
121,Ocean,Neil Diamond,Fergie,Fergie,Lil Wayne
122,Carpenters,Air Supply,Red Hot Chili Peppers,Red Hot Chili Peppers,Adele
123,Gordon Lightfoot,Air Supply,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,OneRepublic
124,Sammi Smith,Barbra Streisand & Barry Gibb,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Bruno Mars
125,Jackson 5,Styx,Rascal Flatts,Rascal Flatts,Britney Spears
126,Lynn Anderson,The Oak Ridge Boys,The Fray,The Fray,Lupe Fiasco
127,"Hamilton, Joe Frank & Reynolds",REO Speedwagon,Rihanna,Rihanna,Lady Gaga
