,'70s,'80s,'90s,'00s,'10s
560,Average White Band,Phil Collins,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Beyonce
561,Gloria Gaynor,Cyndi Lauper,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Selena Gomez
562,Paul Anka,Bryan Adams,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Little Big Town
563,Donny & Marie Osmond,Bruce Springsteen,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Trey Songz
564,Joe Simon,Kool & The Gang,Jibbs,Jibbs,One Direction
565,Queen,Eurythmics,Akon Featuring Eminem,Akon Featuring Eminem,Nicki Minaj Featuring Drake & Lil Wayne
566,Eddie Kendricks,ABC,Ray J,Ray J,Ariana Grande
567,Electric Light Orchestra,Paul McCartney,Fall Out Boy,Fall Out Boy,Nick Jonas
568,Al Green,Survivor,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Meek Mill Featuring Chris Brown & Nicki Minaj
569,America,Wham!,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Rae Sremmurd
570,Mike Post,Julian Lennon,Bon Jovi,Bon Jovi,Vance Joy
571,Tavares,Julian Lennon,JoJo,JoJo,Jidenna Featuring Roman GianArthur
572,Ringo Starr,The Power Station,Busta Rhymes,Busta Rhymes,Elle King
573,Jethro Tull,Ashford & Simpson,Daddy Yankee,Daddy Yankee,Meghan Trainor
574,Leo Sayer,Madonna,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Charlie Puth Featuring Meghan Trainor
575,Ray Stevens,Bruce Springsteen,Rascal Flatts,Rascal Flatts,Meghan Trainor Featuring John Legend
576,Elton John,Debarge,Evanescence,Evanescence,Tove Lo
577,Neil Sedaka,Heart,Carrie Underwood,Carrie Underwood,James Newton Howard Featuring Jennifer Lawrence
578,Carpenters,David Lee Roth,Danity Kane,Danity Kane,O.T. Genasis
579,Ringo Starr,Kool & The Gang,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,"Jessie J, Ariana Grande & Nicki Minaj"
580,Amazing Rhythm Aces,Jermaine Jackson,Sean Paul,Sean Paul,Sam Smith
581,Bachman-Turner Overdrive,The Time,Blue October,Blue October,I LOVE MAKONNEN Featuring Drake
582,Frankie Valli,Bruce Springsteen,Lifehouse,Lifehouse,iLoveMemphis
583,Song,Tina Turner,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz"
584,Song,Aretha Franklin,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",Sam Hunt
585,Song,Sting,Chris Brown,Chris Brown,Chris Brown & Tyga
586,Song,Lionel Richie,John Mayer,John Mayer,Luke Bryan
587,Song,Don Henley,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Big Sean Featuring Drake
588,Song,Night Ranger,The Black Eyed Peas,The Black Eyed Peas,George Ezra
589,Song,Sheena Easton,Eminem,Eminem,Sia
590,Song,Song,Madonna,Madonna,Kelly Clarkson
591,Song,Song,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Ed Sheeran
592,Song,Song,Keyshia Cole,Keyshia Cole,Ella Henderson
593,Song,Song,Ne-Yo,Ne-Yo,Alessia Cara
594,Song,Song,T.I.,T.I.,Mr. Probz
595,Song,Song,P!nk,P!nk,Nicky Jam & Enrique Iglesias
596,Song,Song,Gorillaz,Gorillaz,Ne-Yo Featuring Juicy J
597,Song,Song,T-Pain,T-Pain,One Direction
598,Song,Song,Taylor Hicks,Taylor Hicks,Drake
599,Song,Song,Teddy Geiger,Teddy Geiger,Calvin Harris & Disciples
600,Wings,Dionne & Friends,Daniel Powter,Daniel Powter,Justin Bieber
601,Elton John & Kiki Dee,Klymaxx,Sean Paul,Sean Paul,Justin Bieber
602,Johnnie Taylor,Patti LaBelle & Michael McDonald,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,Drake Featuring WizKid & Kyla
603,Wild Cherry,Mr. Mister,James Blunt,James Blunt,Rihanna Featuring Drake
604,Paul Simon,Whitney Houston,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,twenty one pilots
605,Gary Wright,Eddie Murphy,Natasha Bedingfield,Natasha Bedingfield,Desiigner
606,Walter Murphy & The Big Apple Band,Survivor,Gnarls Barkley,Gnarls Barkley,Adele
607,Starland Vocal Band,Mr. Mister,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,The Chainsmokers Featuring Daya
608,Barry Manilow,Robert Palmer,Justin Timberlake,Justin Timberlake,Justin Timberlake
609,Silver Convention,Whitney Houston,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,The Chainsmokers Featuring Halsey
610,Diana Ross,Atlantic Starr,Mary J. Blige,Mary J. Blige,Sia Featuring Sean Paul
611,Seals & Crofts,Carl Anderson & Gloria Loring,"Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp",Lukas Graham
612,Andrea True Connection,Pet Shop Boys,The Fray,The Fray,Rihanna
613,Queen,Billy Ocean,Cassie,Cassie,Flo Rida
614,Dorothy Moore,Simple Minds,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,Mike Posner
615,The Sylvers,Heart,Chris Brown,Chris Brown,Fifth Harmony Featuring Ty Dolla $ign
616,England Dan & John Ford Coley,Prince And The Revolution,Ne-Yo,Ne-Yo,Calvin Harris Featuring Rihanna
617,Nazareth,Steve Winwood,Yung Joc,Yung Joc,DNCE
618,Silver Convention,Huey Lewis & The News,Rihanna,Rihanna,G-Eazy x Bebe Rexha
619,Eagles,Simply Red,Panic! At The Disco,Panic! At The Disco,twenty one pilots
620,Commodores,Peter Gabriel,The All-American Rejects,The All-American Rejects,twenty one pilots
621,Maxine Nightingale,Starship,Fergie,Fergie,Zayn
622,Ohio Players,The Human League,Red Hot Chili Peppers,Red Hot Chili Peppers,Shawn Mendes
623,Bee Gees,Nu Shooz,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Drake
624,Lou Rawls,Falco,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Major Lazer Featuring Justin Bieber & MO
625,David Bowie,Madonna,Rascal Flatts,Rascal Flatts,Adele
626,Starbuck,Bon Jovi,The Fray,The Fray,The Chainsmokers Featuring Rozes
627,Dr. Hook,Janet Jackson,Rihanna,Rihanna,Shawn Mendes
628,Bellamy Brothers,Heart,Snow Patrol,Snow Patrol,Drake Featuring Rihanna
629,Vicki Sue Robinson,Madonna,Hinder,Hinder,Future Featuring The Weeknd
630,Captain & Tennille,Belinda Carlisle,Cascada,Cascada,Justin Bieber
631,Eric Carmen,Level 42,Christina Aguilera,Christina Aguilera,The Weeknd
632,Donna Summer,Bananarama,Fall Out Boy,Fall Out Boy,P!nk
633,Donny & Marie Osmond,Lionel Richie,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,D.R.A.M. Featuring Lil Yachty
634,Rufus Featuring Chaka Khan,Miami Sound Machine,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Bryson Tiller
635,Dr. Hook,Cyndi Lauper,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ariana Grande
636,Henry Gross,Kenny Loggins,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Drake & Future
637,Chicago,Janet Jackson,Nickelback,Nickelback,gnash Featuring Olivia O'Brien
638,Boz Scaggs,Howard Jones,Kelly Clarkson,Kelly Clarkson,Alessia Cara
639,Peter Frampton,Sly Fox,The Pussycat Dolls,The Pussycat Dolls,Selena Gomez
640,Aerosmith,Miami Sound Machine,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,Drake
641,The O'Jays,Dire Straits,The Black Eyed Peas,The Black Eyed Peas,Meghan Trainor Featuring John Legend
642,Fleetwood Mac,Boston,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Charlie Puth
643,Cliff Richard,Stacey Q,Chris Brown,Chris Brown,James Bay
644,Elvin Bishop,The Jets,Kelly Clarkson,Kelly Clarkson,Meghan Trainor
645,C.W. McCall,Orchestral Manoeuvres In The Dark,D4L,D4L,Zara Larsson & MNEK
646,John Sebastian,Genesis,T.I.,T.I.,DJ Snake Featuring Justin Bieber
647,"Earth, Wind & Fire",Sade,The All-American Rejects,The All-American Rejects,Kent Jones
648,Tavares,INXS,Nickelback,Nickelback,Florida Georgia Line
649,The Brothers Johnson,Stevie Nicks,Mariah Carey,Mariah Carey,Charlie Puth Featuring Selena Gomez
650,The Beach Boys,Janet Jackson,Ne-Yo,Ne-Yo,Ariana Grande
651,Captain & Tennille,The Outfield,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,Kiiara
652,Bay City Rollers,Wham!,Nickelback,Nickelback,Bryson Tiller
653,Elton John,Scritti Politti,Nick Lachey,Nick Lachey,Fetty Wap Featuring Remy Boyz
654,The Staple Singers,James Brown,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Jeremih
655,George Benson,Cameo,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Selena Gomez
656,Electric Light Orchestra,Van Halen,KT Tunstall,KT Tunstall,Kevin Gates
657,Silver,Tina Turner,Juelz Santana,Juelz Santana,The Weeknd Featuring Daft Punk
658,Keith Carradine,Baltimora,Young Dro Featuring T.I.,Young Dro Featuring T.I.,DJ Khaled Featuring Drake
659,Harold Melvin And The Blue Notes,Madonna,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Flume Featuring Kai
660,War,Timex Social Club,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,The Weeknd
661,John Travolta,The Dream Academy,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Meghan Trainor
662,Sweet,Miami Sound Machine,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Elle King
663,Fleetwood Mac,ZZ Top,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Thomas Rhett
664,The Beatles,The Cars,Jibbs,Jibbs,Post Malone
665,Bee Gees,Sheila E.,Akon Featuring Eminem,Akon Featuring Eminem,Nick Jonas Featuring Tove Lo
666,"Earth, Wind & Fire",Genesis,Ray J,Ray J,X Ambassadors
667,Orleans,Regina,Fall Out Boy,Fall Out Boy,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors"
668,Queen,Arcadia,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Yo Gotti Featuring Nicki Minaj
669,Jefferson Starship,Elton John,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Tory Lanez
670,Foghat,Phil Collins,Bon Jovi,Bon Jovi,Beyonce
671,Ohio Players,Run-D.M.C.,JoJo,JoJo,The Weeknd
672,Thin Lizzy,Anita Baker,Busta Rhymes,Busta Rhymes,Coldplay
673,David Ruffin,The Moody Blues,Daddy Yankee,Daddy Yankee,Tory Lanez
674,Peter Frampton,Paul McCartney,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Travis Scott
675,Candi Staton,Starpoint,Rascal Flatts,Rascal Flatts,Ruth B
676,Neil Sedaka,Daryl Hall,Evanescence,Evanescence,Ariana Grande Featuring Nicki Minaj
677,Bay City Rollers,Force M.D.'s,Carrie Underwood,Carrie Underwood,Daya
678,Parliament,Thompson Twins,Danity Kane,Danity Kane,Taylor Swift
679,Larry Groce,Lionel Richie,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,DJ Snake Featuring Bipolar Sunshine
680,Barry Manilow,George Michael,Sean Paul,Sean Paul,Ellie Goulding
681,KISS,Toto,Blue October,Blue October,Drake Featuring The Throne
682,Rick Dees,Stevie Wonder,Lifehouse,Lifehouse,Adele
683,The Steve Miller Band,Song,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,Daya
684,The Who,Song,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",Major Lazer & DJ Snake Featuring MO
685,Glen Campbell,Song,Chris Brown,Chris Brown,Shawn Mendes & Camila Cabello
686,Song,Song,John Mayer,John Mayer,Silento
687,Song,Song,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Chris Brown
688,Song,Song,The Black Eyed Peas,The Black Eyed Peas,Usher Featuring Young Thug
689,Song,Song,Eminem,Eminem,O.T. Genasis Featuring Young Dolph
690,Song,Song,Madonna,Madonna,Kevin Gates
691,Song,Song,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Fifth Harmony Featuring Fetty Wap
692,Song,Song,Keyshia Cole,Keyshia Cole,Hailee Steinfeld & Grey Featuring Zedd
693,Song,Song,Ne-Yo,Ne-Yo,Coldplay
694,Song,Song,T.I.,T.I.,Tim McGraw
695,Song,Song,P!nk,P!nk,Future
696,Song,Song,Gorillaz,Gorillaz,Desiigner
697,Song,Song,T-Pain,T-Pain,Wiz Khalifa Featuring Charlie Puth
698,Song,Song,Taylor Hicks,Taylor Hicks,One Direction
699,Song,Song,Teddy Geiger,Teddy Geiger,Song
700,Rod Stewart,Heart,Daniel Powter,Beyonce,Ed Sheeran
701,Andy Gibb,Gregory Abbott,Sean Paul,Rihanna Featuring Jay-Z,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
702,The Emotions,Whitney Houston,Nelly Furtado Featuring Timbaland,Gwen Stefani Featuring Akon,Bruno Mars
703,Hot,Starship,James Blunt,Fergie,Kendrick Lamar
704,Kenny Nolan,Robbie Nevil,Shakira Featuring Wyclef Jean,T-Pain Featuring Yung Joc,The Chainsmokers & Coldplay
705,Thelma Houston,Whitesnake,Natasha Bedingfield,Carrie Underwood,Migos Featuring Lil Uzi Vert
706,Rita Coolidge,Bruce Hornsby & The Range,Gnarls Barkley,Plain White T's,The Chainsmokers Featuring Halsey
707,Alan O'Day,Bon Jovi,Chamillionaire Featuring Krayzie Bone,Akon Featuring Snoop Dogg,Sam Hunt
708,Mary Macgregor,Los Lobos,Justin Timberlake,Nelly Furtado,Imagine Dragons
709,ABBA,Wang Chung,Beyonce Featuring Slim Thug,Fergie Featuring Ludacris,Post Malone Featuring Quavo
710,Leo Sayer,Crowded House,Mary J. Blige,Akon,James Arthur
711,Jimmy Buffett,Atlantic Starr,"Nelly Featuring Paul Wall, Ali & Gipp",Avril Lavigne,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne"
712,Electric Light Orchestra,Jody Watley,The Fray,Maroon 5,Lil Uzi Vert
713,Pablo Cruise,Tiffany,Cassie,Shop Boyz,Future
714,Stevie Wonder,Billy Idol,The Pussycat Dolls Featuring Snoop Dogg,Akon Featuring Eminem,French Montana Featuring Swae Lee
715,Eagles,Billy Vera & The Beaters,Chris Brown,Mims,Bruno Mars
716,Marvin Gaye,Chris de Burgh,Ne-Yo,Daughtry,Zedd & Alessia Cara
717,Bill Conti,Whitney Houston,Yung Joc,Timbaland Featuring Keri Hilson,DJ Khaled Featuring Rihanna & Bryson Tiller
718,Glen Campbell,U2,Rihanna,Fergie,Rae Sremmurd Featuring Gucci Mane
719,Leo Sayer,Duran Duran,Panic! At The Disco,Soulja Boy Tell'em,The Weeknd Featuring Daft Punk
720,The Sylvers,Debbie Gibson,The All-American Rejects,Timbaland Featuring Nelly Furtado & Justin Timberlake,Khalid
721,Rose Royce,Bill Medley & Jennifer Warnes,Fergie,Justin Timberlake,Charlie Puth
722,The Steve Miller Band,Peter Cetera With Amy Grant,Red Hot Chili Peppers,Gym Class Heroes Featuring Patrick Stump,Shawn Mendes
723,David Soul,Club Nouveau,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,The Fray,Cardi B
724,Stephen Bishop,Madonna,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Daughtry,Childish Gambino
725,Foreigner,Cutting Crew,Rascal Flatts,Justin Timberlake Featuring T.I.,Zayn / Taylor Swift
726,Climax Blues Band,T'Pau,The Fray,Kanye West,Kygo x Selena Gomez
727,Commodores,Kim Wilde,Rihanna,Jim Jones,KYLE Featuring Lil Yachty
728,Jennifer Warnes,The Georgia Satellites,Snow Patrol,P!nk,Julia Michaels
729,Natalie Cole,Aretha Franklin & George Michael,Hinder,Unk,Alessia Cara
730,Manfred Mann's Earth Band,Janet Jackson,Cascada,Sean Kingston,Logic Featuring Alessia Cara & Khalid
731,Barry Manilow,Prince,Christina Aguilera,Fall Out Boy,Niall Horan
732,Atlanta Rhythm Section,Genesis,Fall Out Boy,T-Pain Featuring Akon,Rihanna
733,Fleetwood Mac,Huey Lewis & The News,Kanye West Featuring Jamie Foxx,Huey,The Weeknd Featuring Daft Punk
734,Brick,Madonna,Ludacris Featuring Pharrell,Ludacris Featuring Mary J. Blige,Big Sean
735,Peter Frampton,The Jets,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Nickelback,Liam Payne Featuring Quavo
736,Kenny Rogers,Samantha Fox,Sean Paul Featuring Keyshia Cole,Fall Out Boy,Drake
737,Shaun Cassidy,Michael Jackson With Siedah Garrett,Nickelback,Linkin Park,Maroon 5 Featuring Kendrick Lamar
738,James Taylor,Madonna,Kelly Clarkson,Justin Timberlake,Taylor Swift
739,Alice Cooper,Genesis,The Pussycat Dolls,Lloyd Featuring Lil Wayne,Ed Sheeran
740,Johnny Rivers,Janet Jackson,T-Pain Featuring Mike Jones,Elliott Yamin,Machine Gun Kelly x Camila Cabello
741,Andrew Gold,Huey Lewis & The News,The Black Eyed Peas,Diddy Featuring Keyshia Cole,The Chainsmokers
742,Stevie Wonder,Chicago,Fort Minor Featuring Holly Brook,Fat Joe Featuring Lil Wayne,Ariana Grande Featuring Nicki Minaj
743,Fleetwood Mac,Fleetwood Mac,Chris Brown,Fabolous Featuring Ne-Yo,Clean Bandit Featuring Sean Paul & Anne-Marie
744,Heart,Suzanne Vega,Kelly Clarkson,Omarion,Portugal. The Man
745,The Brothers Johnson,Richard Marx,D4L,Hinder,DJ Snake Featuring Justin Bieber
746,Bob Seger & The Silver Bullet Band,Kenny G,T.I.,John Mayer,Demi Lovato
747,Helen Reddy,Europe,The All-American Rejects,Robin Thicke,21 Savage
748,Marshall Tucker Band,The System,Nickelback,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),Justin Timberlake
749,Kansas,Madonna,Mariah Carey,Nickelback,J Balvin & Willy William Featuring Beyonce
750,Eagles,Michael Jackson,Ne-Yo,Lloyd,Imagine Dragons
751,Engelbert Humperdinck,Prince,E-40 Featuring T-Pain & Kandi Girl,The Red Jumpsuit Apparatus,Migos
752,The Steve Miller Band,Cyndi Lauper,Nickelback,Baby Boy Da Prince Featuring Lil Boosie,Yo Gotti Featuring Nicki Minaj
753,Burton Cummings,Expose,Nick Lachey,Bow Wow Featuring Chris Brown & Johnta Austin,Shawn Mendes
754,Elvis Presley,Dan Hill (Duet With Vonda Shepard),Field Mob Featuring Ciara,The All-American Rejects,Kodak Black
755,Barry Manilow,Billy Idol,Cherish Featuring Sean Paul Of The YoungBloodZ,Hurricane Chris,Post Malone Featuring 21 Savage
756,Ronnie Milsap,Bruce Hornsby & The Range,KT Tunstall,Ne-Yo,Brett Young
757,Foreigner,Swing Out Sister,Juelz Santana,Bone Thugs-N-Harmony Featuring Akon,twenty one pilots
758,Dean Friedman,Ben E. King,Young Dro Featuring T.I.,My Chemical Romance,Halsey
759,Bread,Genesis,Jamie Foxx Featuring Ludacris,Plies Featuring T-Pain,Amine
760,Meco,Glass Tiger,Justin Timberlake Featuring T.I.,Snow Patrol,Ayo & Teo
761,The Floaters,ABC,Eminem Featuring Nate Dogg,Beyonce & Shakira,Kendrick Lamar
762,David Dundas,Levert,Chingy Featuring Tyrese,Justin Timberlake,Zay Hilfigerrr & Zayion McCall
763,Boz Scaggs,Gloria Estefan & Miami Sound Machine,Kelis Featuring Too $hort,Avril Lavigne,Rae Sremmurd
764,Bay City Rollers,The Whispers,Jibbs,Keyshia Cole Featuring Missy Elliott & Lil Kim,Drake
765,Electric Light Orchestra,Bon Jovi,Akon Featuring Eminem,Timbaland Featuring OneRepublic,Kendrick Lamar Featuring Rihanna
766,Supertramp,Peter Gabriel,Ray J,Colbie Caillat,Kesha
767,Bee Gees,Steve Winwood,Fall Out Boy,Ciara,Travis Scott
768,Alice Cooper,Expose,Chris Brown Featuring Lil Wayne,P!nk,Maroon 5 Featuring Future
769,Carly Simon,Survivor,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Kelly Clarkson,D.R.A.M. Featuring Lil Yachty
770,The Sylvers,Herb Alpert,Bon Jovi,Ciara,Calvin Harris Featuring Frank Ocean & Migos
771,Kenny Nolan,Expose,JoJo,J. Holiday,Kane Brown Featuring Lauren Alaina
772,Joe Tex,Fleetwood Mac,Busta Rhymes,Rich Boy Featuring Polow Da Don,Katy Perry Featuring Skip Marley
773,Rose Royce,Lou Gramm,Daddy Yankee,Amy Winehouse,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean"
774,Queen,Crowded House,Beyonce Featuring Jay Z,T.I.,Jon Bellion
775,Captain & Tennille,Bryan Adams,Rascal Flatts,Alicia Keys,Luke Combs
776,Aerosmith,Glenn Medeiros,Evanescence,Boys Like Girls,Sam Smith
777,Al Stewart,Bruce Springsteen,Carrie Underwood,Unk,Khalid
778,Heatwave,Smokey Robinson,Danity Kane,Paula DeAnda Featuring The DEY,Playboi Carti
779,Fleetwood Mac,Heart,Ciara Featuring Chamillionaire,Young Jeezy Featuring R. Kelly,SZA Featuring Travis Scott
780,Elton John,Bruce Willis,Sean Paul,Hellogoodbye,A Boogie Wit da Hoodie Featuring Kodak Black
781,B.J. Thomas,Kool & The Gang,Blue October,Pretty Ricky,Hailee Steinfeld & Grey Featuring Zedd
782,ABBA,Huey Lewis & The News,Lifehouse,Gwen Stefani,Gucci Mane Featuring Drake
783,Leo Sayer,The Breakfast Club,The Pussycat Dolls Featuring will.i.am,Baby Bash Featuring T-Pain,P!nk
784,London Symphony Orchestra,Lionel Richie,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",Rihanna & Sean Paul,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign
785,C.J. & Company,Kenny Loggins,Chris Brown,Lifehouse,Migos Featuring Gucci Mane
786,Song,Cutting Crew,John Mayer,50 Cent Featuring Justin Timberlake & Timbaland,Harry Styles
787,Song,Beastie Boys,Young Jeezy Featuring Akon,Bow Wow Featuring T-Pain & Johnta Austin,Adele
788,Song,Pseudo Echo,The Black Eyed Peas,Taylor Swift,Miley Cyrus
789,Song,Ready For The World,Eminem,Rihanna,Marian Hill
790,Song,Song,Madonna,Red Hot Chili Peppers,Cheat Codes Featuring Demi Lovato
791,Song,Song,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Ludacris Featuring Pharrell,Shawn Mendes
792,Song,Song,Keyshia Cole,Chris Brown Featuring T-Pain,Gucci Mane Featuring Migos
793,Song,Song,Ne-Yo,Nickelback,Dustin Lynch
794,Song,Song,T.I.,Crime Mob Featuring Lil Scrappy,YFN Lucci Featuring PnB Rock
795,Song,Song,P!nk,Justin Timberlake,Camila Cabello Featuring Young Thug
796,Song,Song,Gorillaz,Hinder,Maroon 5 Featuring SZA
797,Song,Song,T-Pain,Finger Eleven,blackbear
798,Song,Song,Taylor Hicks,Snoop Dogg Featuring R. Kelly,XXXTENTACION
799,Song,Song,Teddy Geiger,R. Kelly Duet With Usher,Keith Urban Featuring Carrie Underwood
800,Andy Gibb,George Michael,Daniel Powter,Flo Rida Featuring T-Pain,Drake
801,Bee Gees,INXS,Sean Paul,Leona Lewis,Ed Sheeran
802,Debby Boone,George Harrison,Nelly Furtado Featuring Timbaland,Alicia Keys,Bebe Rexha & Florida Georgia Line
803,Bee Gees,Rick Astley,James Blunt,Lil Wayne Featuring Static Major,Camila Cabello Featuring Young Thug
804,Exile,Guns N' Roses,Shakira Featuring Wyclef Jean,Timbaland Featuring OneRepublic,Post Malone Featuring 21 Savage
805,Bee Gees,Whitney Houston,Natasha Bedingfield,Jordin Sparks Duet With Chris Brown,Post Malone Featuring Ty Dolla $ign
806,Player,Belinda Carlisle,Gnarls Barkley,Sara Bareilles,"Cardi B, Bad Bunny & J Balvin"
807,Andy Gibb,Tiffany,Chamillionaire Featuring Krayzie Bone,Usher Featuring Young Jeezy,"Zedd, Maren Morris & Grey"
808,A Taste Of Honey,Breathe,Justin Timberlake,Chris Brown,Drake
809,Commodores,Steve Winwood,Beyonce Featuring Slim Thug,Chris Brown,Maroon 5 Featuring Cardi B
810,Frankie Valli,George Michael,Mary J. Blige,Ray J & Yung Berg,Drake
811,Paul Davis,Terence Trent D'Arby,"Nelly Featuring Paul Wall, Ali & Gipp",Rihanna,Juice WRLD
812,John Travolta & Olivia Newton-John,Gloria Estefan & Miami Sound Machine,The Fray,Coldplay,Post Malone
813,Samantha Sang,Cheap Trick,Cassie,Katy Perry,Bruno Mars & Cardi B
814,Eric Clapton,Billy Ocean,The Pussycat Dolls Featuring Snoop Dogg,T.I.,Ella Mai
815,The Rolling Stones,Expose,Chris Brown,Rihanna,Dua Lipa
816,Billy Joel,Whitesnake,Ne-Yo,Rihanna,XXXTENTACION
817,Wings,The Escape Club,Yung Joc,Natasha Bedingfield,Camila Cabello
818,Yvonne Elliman,Def Leppard,Rihanna,Chris Brown Featuring T-Pain,Khalid & Normani
819,Chic,Taylor Dayne,Panic! At The Disco,Ne-Yo,Ariana Grande
820,Chuck Mangione,Michael Jackson,The All-American Rejects,Colbie Caillat,Bazzi
821,Sweet,Debbie Gibson,Fergie,Mariah Carey,Imagine Dragons
822,Bonnie Tyler,Richard Marx,Red Hot Chili Peppers,Madonna Featuring Justin Timberlake & Timbaland,BlocBoy JB Featuring Drake
823,Gerry Rafferty,Johnny Hates Jazz,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,P!nk,Taylor Swift
824,Meat Loaf,George Michael,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Finger Eleven,Lil Baby & Drake
825,ABBA,Samantha Fox,Rascal Flatts,Fergie,Marshmello & Anne-Marie
826,Dan Hill,Phil Collins,The Fray,Jason Mraz,Halsey
827,Donna Summer,Def Leppard,Rihanna,Jesse McCartney,Tyga Featuring Offset
828,Olivia Newton-John,Richard Marx,Snow Patrol,Kardinal Offishall Featuring Akon,NF
829,Foreigner,Debbie Gibson,Hinder,Jordin Sparks,G-Eazy Featuring A$AP Rocky & Cardi B
830,Roberta Flack With Donny Hathaway,Whitney Houston,Cascada,Miley Cyrus,6ix9ine Featuring Nicki Minaj & Murda Beatz
831,Kansas,Aerosmith,Christina Aguilera,Metro Station,Dan + Shay
832,Randy Newman,Michael Jackson,Fall Out Boy,OneRepublic,Portugal. The Man
833,The O'Jays,Eric Carmen,Kanye West Featuring Jamie Foxx,Sean Kingston,"Migos, Nicki Minaj & Cardi B"
834,Natalie Cole,UB40,Ludacris Featuring Pharrell,M.I.A.,Lauv
